ID,Title,Content,"Image Featured",SIREN,SIRET,Slogan,Adresse,CP,Ville,Latitude,Longitude,"Prénom Gérant/Responsable","Nom Gérant/Responsable","Téléphone 01","Téléphone 02",Email,"Site web",Couleur,"Galerie Photos","Lien vidéo","Module Elfsight","Module Avis Elfsight",Horaires,Réservation
989,Cryotera,"<p><strong>Le bien-être par le froid.</strong></p><p>Cryotera propose des solutions novatrices et naturelles pour améliorer la santé physique et mentale. Nos prestations incluent la <strong>cryothérapie corps entier</strong> pour la récupération et le bien-être, la <strong>cryothérapie localisée</strong> pour cibler les douleurs, la <strong>pressothérapie</strong> pour l'activation sanguine et lymphatique, le <strong>soin du visage cryo</strong> pour stimuler le collagène, la <strong>cryolipolyse</strong> pour l'amincissement et un suivi en nutrition personnalisé.</p>",https://wiikard.com/wp-content/uploads/2025/09/cryotera.jpg,891730889,89173088900013,"Le froid qui vous veut du bien.","8 avenue de Grenoble",38170,Seyssinet-Pariset,45.171662,5.696027,Eric,Platel,,,contact.grenoble@cryotera.fr,https://cryotera.fr/centres/grenoble,#00a8cc,https://wiikard.com/wp-content/uploads/2025/09/Cryotera-Grenoble-01.jpg|https://wiikard.com/wp-content/uploads/2025/09/Cryotera-Grenoble-02.jpg|https://wiikard.com/wp-content/uploads/2025/09/Cryotera-Grenoble-03.jpg,,,,,
994,"Vélo Dayak","<p><strong>Né d'une passion pour le vélo.</strong></p><p>Né d’un tour du monde à vélo, Vélo Dayak c’est une équipe passionnée à Saint-Martin-d’Hères. Nous proposons une large gamme de vélos <strong>Specialized</strong> (et pas que), un <strong>atelier</strong> de réparation toutes marques, un service de <strong>location</strong>, et des <strong>conseils</strong> d'experts pour vous guider. Ici, on partage le plaisir de rouler, tout simplement.</p>",https://wiikard.com/wp-content/uploads/2025/09/Velo-Dayak.jpg,448694273,44869427300054,"Le plaisir de rouler, tout simplement.","12 avenue Gabriel Péri",38400,Saint-Martin-d'Hères,45.187851,5.749477,Guillaume,Campredon,438128657,,smh@velo-dayak.fr,http://www.velo-dayak.fr,#d3af00,https://wiikard.com/wp-content/uploads/2025/09/Velo-Dayak-01-rotated.jpg|https://wiikard.com/wp-content/uploads/2025/09/Velo-Dayak-02-rotated.jpg|https://wiikard.com/wp-content/uploads/2025/09/Velo-Dayak-03-rotated.jpg|https://wiikard.com/wp-content/uploads/2025/09/Velo-Dayak-04-rotated.jpg,,,,"Lundi au Samedi 10h-13h 14h30-19h",
1000,"Mooving Arena","<p><strong>Le complexe multisport pour tous.</strong></p><p>Mooving Arena est un complexe multisport situé au Versoud, dédié au <strong>sport</strong>, au <strong>bien-être</strong> et à la <strong>convivialité</strong>. C'est un lieu climatisé l'été et chauffé l'hiver pour se dépenser, se retrouver et partager des moments uniques entre amis, en famille ou entre collègues. Découvrez nos terrains de Padel, notre salle de fitness et bien plus encore.</p>",https://wiikard.com/wp-content/uploads/2025/09/Mooving-Arena-logo.jpg,904896222,90489622200018,"Dépensez-vous, retrouvez-vous, partagez.","622 Rue Amable Matussière",38420,"Le Versoud",45.228752,5.875858,Yona,Vincent,476920008,,contact@moovingarena.fr,https://www.moovingarena.fr,#e3b263,https://wiikard.com/wp-content/uploads/2025/09/Mooving-Arena-01.jpg|https://wiikard.com/wp-content/uploads/2025/09/Mooving-Arena-02.jpg|https://wiikard.com/wp-content/uploads/2025/09/Mooving-Arena-03.jpg|https://wiikard.com/wp-content/uploads/2025/09/Mooving-Arena-04.jpg,https://wiikard.com/wp-content/uploads/2025/09/Mooving-Arena.mp4,,,"Lundi-Vendredi 9h-23h30, Samedi-Dimanche 9h-21h","Application Mooving Arena"
1006,"Iron Bodyfit Meylan","<p><strong>Le fitness nouvelle génération.</strong></p><p>Réunir à la fois <strong>rapidité</strong>, <strong>performance</strong>, <strong>personnalisation</strong> et <strong>qualité</strong>, c’est possible ! C’est ce que nous avons fait chez Iron Bodyfit. Nous proposons des séances de <strong>25 minutes par semaine</strong>, l’équivalent de 4h de sport ! Facile à glisser dans son emploi du temps. Nous pensons à nos adhérents en leur proposant des abonnements flexibles et des accompagnements ultra-personnalisés pour atteindre leur idéal. Se muscler, soulager les maux de dos, perdre du poids, c’est ce que nous proposons grâce à notre solution innovante.</p>",https://wiikard.com/wp-content/uploads/2025/09/iron-bodyfit-meylan-logo.jpg,852990142,85299014200022,"Rapidité, performance et personnalisation.","2A chemin des Prés",38240,Meylan,45.210637,5.787088,Stanislas,LIMA,,,stanislas.lima@ironbodyfit.fr,https://ironbodyfit.com/nos-studios/meylan,#ff6b35,https://wiikard.com/wp-content/uploads/2025/09/IronBodyFit-affiche-01.jpg|https://wiikard.com/wp-content/uploads/2025/09/IronBodyFit-affiche-02.jpg|https://wiikard.com/wp-content/uploads/2025/09/IronBodyFit-affiche-03.jpg|https://wiikard.com/wp-content/uploads/2025/09/IronBodyFit-affiche-04.jpg|https://wiikard.com/wp-content/uploads/2025/09/IronBodyFit-affiche-05.jpg,,,,"Lundi-Vendredi 10h-20h, Samedi 9h-13h",https://api.rise.fliipapp.com/l/cY38T48j7j
1013,"Iron Bodyfit St-Martin-le-Vinoux","<p><strong>Le fitness nouvelle génération.</strong></p><p>Réunir à la fois <strong>rapidité</strong>, <strong>performance</strong>, <strong>personnalisation</strong> et <strong>qualité</strong>, c’est possible ! C’est ce que nous avons fait chez Iron Bodyfit. Nous proposons des séances de <strong>25 minutes par semaine</strong>, l’équivalent de 4h de sport ! Facile à glisser dans son emploi du temps. Nous pensons à nos adhérents en leur proposant des abonnements flexibles et des accompagnements ultra-personnalisés pour atteindre leur idéal. Se muscler, soulager les maux de dos, perdre du poids, c’est ce que nous proposons grâce à notre solution innovante.</p>",https://wiikard.com/wp-content/uploads/2025/09/iron-bodyfit-st-martin-le-vinoux-logo.jpg,852990142,85299014200022,"Rapidité, performance et personnalisation.","1 rue Conrad Kilian",38950,Saint-Martin-le-Vinoux,45.206439,5.708749,Stanislas,LIMA,,,stanislas.lima@ironbodyfit.fr,https://ironbodyfit.com/nos-studios/saint-martin-le-vinoux,#ff6b35,https://wiikard.com/wp-content/uploads/2025/09/IronBodyFit-affiche-01.jpg|https://wiikard.com/wp-content/uploads/2025/09/IronBodyFit-affiche-02.jpg|https://wiikard.com/wp-content/uploads/2025/09/IronBodyFit-affiche-03.jpg|https://wiikard.com/wp-content/uploads/2025/09/IronBodyFit-affiche-04.jpg|https://wiikard.com/wp-content/uploads/2025/09/IronBodyFit-affiche-05.jpg,,,,"Lundi-Vendredi 10h-20h, Samedi 9h-13h",https://api.rise.fliipapp.com/l/z8iHUpSri1
1014,"La Galerie du Parquet","<p><strong>L'expert de vos sols et aménagements.</strong></p><p>Fondée en 1997, La Galerie du Parquet dispose d’un showroom de plus de 300 m2 et d’une palette diversifiée de revêtements de sol : <strong>parquets</strong> (placage, massif, contrecollé), <strong>stratifié</strong>, <strong>vinyle</strong>, et <strong>béton ciré</strong>. Nos poseurs expérimentés assurent trois types de poses pour vos parquets : collée, flottante, ou clouée. Nous nous chargeons également de la pose de vos <strong>aménagements intérieurs</strong> sur mesure : dressing, bibliothèque, placards, etc.</p>",https://wiikard.com/wp-content/uploads/2025/09/galerieduparquet.jpg,413864471,41386447100011,"L'art du sol, du parquet au béton ciré.","19 rue de Comboire",38130,Echirolles,45.145419,5.69358,Stéphan,Claveria,476228619,,contact@galerieduparquet.fr,http://www.galerieduparquet.fr,#b94377,https://wiikard.com/wp-content/uploads/2025/09/la-galerie-du-parquet-01.jpg|https://wiikard.com/wp-content/uploads/2025/09/la-galerie-du-parquet-02.jpg|https://wiikard.com/wp-content/uploads/2025/09/la-galerie-du-parquet-03.jpg,,,,,
1019,"Start Energy","<p><strong>Votre spécialiste en autonomie électrique.</strong></p><p>Fort de <strong>30 ans d'expérience</strong>, Start Energy est spécialisé en solutions d'autonomie électrique : <strong>piles</strong>, <strong>batteries</strong> et <strong>installations solaires</strong> sur mesure. Nous offrons réactivité, devis gratuits, et un service client d'excellence. Notre équipe certifiée <strong>Victron Energy</strong> assure des conseils experts et personnalisés pour tous vos projets, du plus simple au plus complexe.</p>",https://wiikard.com/wp-content/uploads/2025/09/Start-Energy-logo.jpg,532840139,53284013900028,"L'énergie de vos projets, sur mesure.","13 Rue de Comboire",38130,Echirolles,45.147219,5.693539,Yoann,Gauthier,480806330,,contact@startenergy.fr,https://startenergy.fr/,#059eda,https://wiikard.com/wp-content/uploads/2025/09/Start-Energy-01.jpg|https://wiikard.com/wp-content/uploads/2025/09/Start-Energy-03.jpg|https://wiikard.com/wp-content/uploads/2025/09/Start-Energy-04.jpg,,,,"Lundi-Samedi 9h-12h30 / 13h30-18h",
1024,"BAM Freesports","<p><strong>Le plus grand Trampoline Park de la région !</strong></p><p>Depuis 2016, Bam Freesports Grenoble est la référence du trampoline dans la région. En 2025, le parc fait peau neuve avec une multitude de nouveautés et de nouvelles zones à venir tester d'urgence. Que vous soyez débutant ou professionnel, que vous veniez pour une <strong>session libre</strong>, un <strong>anniversaire</strong> ou des <strong>cours</strong>, il y en a pour tous les goûts et tous les âges. L'adrénaline et le fun sont garantis ! Pensez à réserver sur notre site pour assurer votre place.</p>",https://wiikard.com/wp-content/uploads/2025/09/Bam-Freesports-logo.jpg,804939817,80493981700032,"Sautez, volez, éclatez-vous !","9 rue E. Galois",38320,Eybens,45.151302,5.738857,Bastien,Dousse,456176450,,bastien.dousse@bam-freesports.com,http://www.bam-freesports.com,#3aaa35,https://wiikard.com/wp-content/uploads/2025/09/Bam-Freesports-01.jpg|https://wiikard.com/wp-content/uploads/2025/09/Bam-Freesports-02.jpg|https://wiikard.com/wp-content/uploads/2025/09/Bam-Freesports-03.jpg,,,,"Voir sur le site",www.bam-freesports.com
1029,"Bowl Center","<p><strong>Plus qu'un simple bowling !</strong></p><p>Entreprise familiale créée il y a plus de 20 ans, Bowlcenter est un lieu incontournable du bassin grenoblois. Nous vous proposons une offre multi-activités complète avec <strong>bowling</strong>, <strong>billards</strong>, <strong>réalité virtuelle (VR)</strong> et <strong>jeux d’arcade</strong>. Profitez également de notre restaurant et de notre bar pour une expérience complète. C'est l'endroit idéal pour partager des moments inoubliables en famille, entre amis ou entre collègues.</p>",https://wiikard.com/wp-content/uploads/2025/09/Bowlcenter-logo.jpg,444696900,44469690000018,"Le strike parfait pour s'amuser.","19 avenue de Grugliasco",38130,Echirolles,45.150753,5.716864,Vincent,Bernard,476234090,,com@bowlcenter.fr,http://echirolles.bowlcenter.fr,#c1001f,https://wiikard.com/wp-content/uploads/2025/09/Bowlcenter-01.jpg|https://wiikard.com/wp-content/uploads/2025/09/Bowlcenter-02.jpg|https://wiikard.com/wp-content/uploads/2025/09/Bowlcenter-03.jpg|https://wiikard.com/wp-content/uploads/2025/09/Bowlcenter-04.jpg,,,,"14h00 - Minuit",
1035,"Barber Club Grenoble","<p><strong>L'art du style au masculin.</strong></p><p>Ouvert depuis juillet 2024, Barber Club Grenoble vous propose bien plus qu’une simple coupe de cheveux ou une taille de barbe. C'est une véritable expérience où le <strong>style</strong>, la <strong>précision</strong> et une <strong>ambiance unique</strong> se rencontrent. Chaque détail, de la décoration à nos services, est pensé pour vous offrir un moment d'exception. Nous mettons un point d'honneur à soigner votre look dans une atmosphère conviviale et professionnelle. Au plaisir de vous accueillir bientôt.</p>",https://wiikard.com/wp-content/uploads/2026/01/Barber-Club-Grenoble-logo.jpg,924980899,92498089900018,"Votre style, notre signature.","5 rue Clôt Bey",38000,Grenoble,45.189673,5.723528,Anis,Boussandel,956309386,,barberclotbey@gmail.com,https://barberclub-grenoble.fr/,#000000,https://wiikard.com/wp-content/uploads/2025/09/Barber-Club-01-rotated.jpeg|https://wiikard.com/wp-content/uploads/2025/09/Barber-Club-06-2.jpg|https://wiikard.com/wp-content/uploads/2025/09/Barber-Club-07.jpg|https://wiikard.com/wp-content/uploads/2025/09/Barber-Club-08.jpg|https://wiikard.com/wp-content/uploads/2025/09/Barber-Club-02.jpeg|https://wiikard.com/wp-content/uploads/2025/09/Barber-Club-09.jpg,,,,"Lundi au Samedi de 9h à 19h",
